key	en	fr
You_are_about_to_delete	You are about to delete	Vous êtes sur le point de supprimer
Are_you_sure	Are you sure	Êtes vous sûr
Cancel	Cancel	Annuler
Delete	Delete	Supprimer
Edition	Edition	Édition
Save	Save	Enregistrer
Back	Back	Retour
Create_new	Create a new	Créer un nouveau
creation_date	Creation date	Date de création
creation_by	Creation by	Créé par
modification_date	Modification date	Date de modification
modification_by	Modification by	Modifié par
id	ID	ID
Search for	Search for	Rechercher
Search	Search	Rechercher
Open	Open	Ouvrir
